file,label
vi_yes_ver01_data_sn84025841_00175032307_1897052901_0309_023_0_91.jpg,human|landscape
dlc_frontier_ver01_data_sn84026749_00280764346_1916082001_0811_007_0_94.jpg,human
wa_dogwood_ver01_data_sn88085187_00211108150_1909052901_1054_013_0_96.jpg,human
hihouml_cardinal_ver01_data_sn83025121_00294552479_1903101601_0500_008_0_91.jpg,human
ct_cedar_ver01_data_sn84020358_00271744456_1905051301_1034_008_0_95.jpg,human
khi_garwood_ver02_data_sn83040340_00237285281_1896062601_0675_002_0_97.jpg,human
mohi_ingalls_ver01_data_sn84020274_00294559668_1903112501_0546_013_0_90.jpg,human
vi_xyz_ver01_data_sn94059373_00175034067_1902040401_0674_002_0_97.jpg,human-structure
txdn_honda_ver02_data_sn85042551_0020029726A_1916092701_0697_004_0_99.jpg,human-structure
dlc_neptunian_ver01_data_sn83045462_00280658017_1912040401_0421_008_0_95.jpg,
khi_goodnow_ver01_data_sn85032801_00212473686_1899050402_0594_002_0_98.jpg,human
msar_jacard_ver01_data_sn86090233_00199917481_1913070301_0245_009_0_92.jpg,human
uuml_seven_ver01_data_sn85058140_00175049617_1910120401_0076_002_0_98.jpg,human
iune_echo_ver01_data_sn83045487_00280761436_1912050901_1081_001_0_92.jpg,human
mthi_leopardfrog_ver01_data_sn85053058_00295861320_1917120301_0828_007_0_95.jpg,human
vtu_ludlow_ver01_data_sn85038102_00202197279_1895083001_0858_000_0_98.jpg,animal|human-structure|landscape
wa_klickitat_ver01_data_sn87093407_00200290719_1917020501_0295_001_0_97.jpg,human
az_datura_ver01_data_sn84024827_00211106086_1915112001_0575_016_0_94.jpg,
mdu_douglass_ver01_data_sn85038292_00415623999_1899081201_0140_001_0_97.jpg,human
vtu_horseradish_ver01_data_sn86071593_00415628420_1919062001_0549_006_0_94.jpg,human|animal
mohi_garfield_ver01_data_sn89067274_00294556953_1907022101_0911_003_0_96.jpg,human-structure
mnhi_hallock_ver01_data_sn90059523_00206537498_1898031301_0120_001_0_98.jpg,human|human-structure
curiv_klamath_ver01_data_sn85066387_00175046628_1910073101_0686_003_0_98.jpg,human
hihouml_hamlet_ver01_data_sn85047084_0029587174A_1910051101_0163_007_0_99.jpg,human
khi_jennison_ver01_data_sn82014635_00280760511_1895051801_0345_007_0_92.jpg,
kyu_fleetwoodmac_ver01_data_sn85052076_0017504629A_1906061401_0627_009_0_97.jpg,human
dlc_japanesechin_ver01_data_sn83045462_00280655302_1899121401_0144_001_0_90.jpg,
tu_anita_ver01_data_sn85038531_00415621279_1918070301_0036_009_0_95.jpg,human
cohi_carr_ver02_data_sn90051265_00340585914_1909031901_0358_003_0_93.jpg,human
khi_landon_ver01_data_sn82014635_00280760882_1903100401_0111_004_0_97.jpg,human
nn_plato_ver01_data_sn83030193_175044462_1904053101_0734_004_0_95.jpg,
idhi_iguacu_ver01_data_sn89055082_00414211112_1906101101_0189_001_0_93.jpg,
mnhi_allemande_ver01_data_sn85025570_00199919994_1895112801_0382_000_0_97.jpg,human
khi_jones_ver01_data_sn83040592_00212474022_1913082101_0507_002_0_98.jpg,landscape
dlc_vizsla_ver02_data_sn83045462_0028065579A_1907012701_0148_003_0_92.jpg,human
dlc_frontier_ver01_data_sn84026749_00280764334_1916061701_0949_011_0_93.jpg,human
mohi_hayden_ver01_data_sn84020274_0029455953A_1902102901_0605_006_0_93.jpg,human
dlc_ike_ver01_data_sn82016187_00211102354_1897090201_0468_004_0_95.jpg,human
curiv_lovelock_ver01_data_sn85042461_00280769708_1896120101_0345_000_0_91.jpg,human
deu_ironhill_ver01_data_sn85042354_00383342727_1920121401_1077_019_0_93.jpg,human
au_abernethy_ver01_data_sn85044812_00340583231_1896051701_0141_001_0_97.jpg,landscape
curiv_rubidoux_ver01_data_sn85042462_00175035862_1910052701_0646_015_0_91.jpg,human
mthi_goldeneye_ver01_data_sn83025294_00212476882_1902060701_0365_001_0_90.jpg,human
iune_heraldry_ver01_data_sn92053934_00202198739_1909061201_0639_002_0_96.jpg,human
mdu_elsberg_ver02_data_sn85038292_00415624207_1920102201_0529_002_0_98.jpg,human
iune_headline_ver02_data_sn92053240_00295873000_1917011201_0062_006_0_92.jpg,human
az_elephanttree_ver01_data_sn94051692_00211106165_1901083101_0440_005_0_95.jpg,human
kyu_flamingo_ver01_data_sn83004226_00202195891_1919101701_0455_007_0_90.jpg,human
mdu_glass_ver02_data_sn83016348_00415625340_1897121801_0817_000_0_98.jpg,human-structure|landscape
wvu_coltrane_ver01_data_sn85059715_00415660674_1906050901_0721_001_0_98.jpg,human
idhi_baldacci_ver02_data_sn86091111_00415665994_1914082801_0720_007_0_96.jpg,human
mohi_eadweard_ver01_data_sn90061556_00200292066_1917110301_0337_000_0_98.jpg,human|human-structure
whi_clabbert_ver01_data_sn85040451_00414215154_1902100801_0328_002_0_97.jpg,human
mohi_kersee_ver01_data_sn84020274_00211109026_1900031901_0358_003_0_98.jpg,human-structure|landscape
dlc_barack_ver01_data_sn85054468_100493093_1901022401_0574_003_0_97.jpg,human
wa_index_ver01_data_sn83045604_00202199720_1900111101_0699_005_0_92.jpg,human
mohi_ingalls_ver01_data_sn84020274_00294559796_1904121001_0198_012_0_91.jpg,human
dlc_canada_ver01_data_sn83030214_00175041436_1906061301_0278_004_0_98.jpg,human
nmu_austen_ver01_data_sn94056869_00415626824_1920061001_0188_006_0_92.jpg,human
okhi_freedom_ver01_data_sn86063952_00237281172_1901100901_0237_000_0_97.jpg,human
pst_greenberg_ver01_data_sn85038411_00296028290_1918041101_0395_005_0_98.jpg,human
